A00,"Amar Opening: Gambit","gXVKZsBGEAFa6F4tFETZHUWTbwN2PFKQyCfX812wfYw"
A01,"Nimzovich-Larsen Attack: Indian Variation","DN4BfjFnZVn1Mh7mixjh7haLY69qAeMyQAJDYMJes8pM"
A02,"Bird's Opening: From Gambit,  Lipke Variation","4TVHgWxRhHwUHQ5CM2FjgbP7aiM68YfYUvZncWDMJQyq"
A03,"Bird's Opening: Lasker Variation","HtLHUvc5aXixrg4SaNtCDJTexhnaW1LSQVTnc31y6Nc6"
A08,"King's Indian Attack: Reti Opening","oWaZYWj45FDbgoQSv3LwFLm9e4ttJmNRAkYA7maczhX"
A07,"King's Indian Attack: Reti Opening,  Pachman System","CQ7EXg5k1BF4ATWgDcnh6EbEk59FtCz5DYYXsCdhKxhG"
A08,"King's Indian Attack: Reti Opening,  French Variation","Bbw7gXDnftYRXA3VK4ePCkihsMVzFaQ2sBfyKeC16J4A"
A09,"King's Indian Attack: Reti Opening,  Accepted,  Keres Variation","Bcrt8v3BpWQVPwHfcmAn3f3T5CDJWucWqfW8xQRDoJny"
A21,"English Opening","54z7PRZz7uSW6uMT3saduaDxrpffzh1jyrUXSUWnbJEJ"
A12,"English Opening: Caro-Kann defensive System","9gcCmgt4WPuFuAmpJcEwVudghNCJWsw6AFZf1WUY3omw"
A12,"English Opening: New York (London) defensive System","7asHRNNMheqqbtuVm9GnJ5bJzd5pVNLzpcV1g5iDrB1c"
A13,"English Opening: Wimpey System","Bdaf4x7JY7vHYMCKCe4fA5dmXwV21K3FigBJnpaRNThT"
A14,"English Opening: Symmetrical,  Keres Defence","9mo1jwMBq3du3xVtdfSraMqaGSUKcdod8mgsQzFMMQv3"
A16,"English Opening: Anglo-Gruenfeld Defence,  Korchnoi Variation","2iSnkNeDEp8gGPUYUjGyALpiT6iwsHvxvtegKuvEtqEi"
A17,"English Opening: Queen's Indian,  Romanishin Variation","825NJ9zD3cYdTmRMu9Pi3cESVoQqEWFX1HmT5D3ZtT56"
A18,"English Opening: Mikenas-Carls,  Flohr Variation","EniEdSMSB8foACUyibztTsxa7GX39wQ8uKMDVzwUt6h1"
A19,"English Opening: Mikenas-Carls,  Sicilian Variation","6gqWc6sQciuCVxSfGvuZMBrMRCGDmXpsgwLjY4bNf8mY"
A21,"English Opening: Troeger Defence","4hJWG6oP1bpNBJaPAinauQ339f9QEWGmdqyLUvf8JX9R"
A22,"English Opening: Bellon Gambit","7xuTPLt2xPfiiQfTHvB4Tnwqs8L65DXfFNAJua2bAp5A"
A23,"English Opening: Bremen System,  Keres Variation","AXGVjC6pVADG4adPviZK4Dk4LCrS4EaGHuTm6YunnggL"
A24,"English Opening: Bremen System,  With ...g6","9YuMuT59kZMVSSwUFGWyRydvvjaPqdHVukonG8zD8zZz"
A25,"English Opening: Closed,  Taimanov Variation","FkFaqqAC9sgWY6FDj6TQ56A8qak9eP6W5z6cjAEzakjD"
A26,"English Opening: Botvinnik System","8DHDcnmeVDvUsHto5LEv7GHCjKbPMHWJo377p5j7McqK"
A27,"English Opening: three Knights System","5nwF9aGfuLCJHGnedxwvMyw6dfM1bZiJmbeVPVYoHbRV"
A28,"English Opening: Nenarokov Variation","C8TDUcVxvL2mM5XoS1HLHwpKQsaGrobfp2V58BTJUi74"
A29,"English Opening: Four Knights,  kingside Fianchetto","GoktT7AZASwnacyn1XqmWc6uFyhkwWAUW9eQPhLAcB7o"
A33,"English Opening: Symmetrical Variation","GMhonfMRYTdZqSTUhq4M2vTNcurq32WWgGv5rHFxeU16"
A30,"English Opening: Symmetrical Variation,  hedgehog,  flexible formation","6MK3YUTr8FZSEdJyXaFpCvt2AjmCFSE9FWAqcSPC2BUd"
A31,"English Opening: Symmetrical Variation,  Benoni formation","DLKTKMtTFpEzqCvZLi4VRAc7trbyFQAFVqat2ap9GxaQ"
A33,"English Opening: Symmetrical Variation,  Geller Variation","4ivFEEJw9XWsc4F8F7AfEGUkQcHCiyb9EfTU3qQXpV2J"
A38,"English Opening: Symmetrical Variation,  Main line With d3","H6AFbcoLw4zpsDBoJQGfPM3baUtQyhrAeRYFQBUQVoWA"
A39,"English Opening: Symmetrical Variation,  Main line With d4","6Z6L97qtTUbZKJnbsnUu1KRhpgU57vxrWabS9CsshnPV"
D05,"Queen's Pawn Game","CYyXxN88gkVAtRkL3YhAeqPT4js7GBQ18R5FfRT2kEqB"
A40,"Queen's Pawn Game: Englund Gambit","Gu7xiDaM66unDvXXKhJfZgv8nREEqB5FQ4we1fBqiswU"
A41,"Robatsch Defence: Rossolimo Variation","4gqnRRL4B6msanLMALUZREaYAosGhm5M46khDbJ88GZd"
A42,"Pterodactyl Defence","7L2NNruLpu2hYRkbQqZepMRpV9JLX1ryX2GociPmubH8"
A43,"Woozle Defence","FA64UW9zrnQ6Ufa2ekoeFs7y44mHHKodwcBm3RgS7CDt"
A44,"Semi-Benoni","naJCLpETki4nEJHGLAPuzTeEyjbbtpKZeuJJn7xqQtj"
A47,"Queen's Indian Defence: Marienbad System,  Berg Variation","7a7NHHfSxX5Z3ogDob7vRkdKMt7eVtHA4XKhjoAfwYFq"
A48,"King's Indian Defence: Torre Attack","H8H7DZN2PeEwrJWFQRrC39RKQ3rWr1acMTV6GRExhMDP"
A49,"King's Indian Defence: Fianchetto Without c4","5QiPwbujtV8Zqtstbf6n18iH8xDdwbBwom3ZwzvNUQyM"
A51,"Budapest Defence: Fajarowicz Variation,  Steiner Variation","2bBSxP3z3MqtFQsbjXarvvCBLZjqYt2ivPV4KVyFEn2K"
A52,"Budapest Defence: Alekhine,  Abonyi Variation","CCf1U2WanK74nDMNy5dtK81owuvCSEuVn6rHXw2ZyBGN"
A53,"Old Indian Defence: Janowski Variation","wW1TP5k58EueDEY8wprucDPgPQVWjYJdLBAM88Q1PzQ"
A54,"Old Indian Defence: Dus-Khotimirsky Variation","3ZXf5JPdBnH1oFbZXcPNGASr8EB5FTAMsMcYbrSsgT9C"
A55,"Old Indian Defence: Main line","7jn8ugUYnBpwVSyxJjUf2AQoanozBfFaPerfWFnQEpBn"
A61,"Benoni Defence","BZXiyZmvao3Ve3KbcWbPK7DYrz4tcYhJpVraXTzEaHFZ"
A59,"Benko Defence: Gambit","DT3VDE1KfkYRvhm9wyWSYMGq9QqQ56x5E7VjZBPbGHKt"
A58,"Benko Defence: Gambit,  Nd2 Variation","5k6EihpEnWXg2S4QH2yYnRTDTH4gefkYiz4bpYXcYuoK"
A59,"Benko Defence: Gambit,  Main line","74Enj9zqK8YHg9aEgSC77dy7Pz6Lm6jr46F62qgPGEnF"
A62,"Benoni Defence: Fianchetto Variation","Dvogf4FgoLCxHgUscm9seFtzvVM7an9uo5h3jJCNEi48"
A63,"Benoni Defence: Fianchetto,  9...Nbd7","Cjb9MJD6ZpnPk29n79572T5PtSEqVXFJFq3JY27pSgZb"
A64,"Benoni Defence: Fianchetto,  11...Re8","7VBXPCfoFT6ZFQsk55ea7CoeMmcrs9p3RFgjk6YgqmDY"
A65,"Benoni Defence: 6.e4","8VAT3VoMeWe2BMjwegFEf5FPJd5of1ix5ot7vcD6EtCD"
A66,"Benoni Defence: Mikenas Variation","DdqTPT2qYerns7yuujxB3WFVBF1GVCVKbVQJdWtR5JgB"
A67,"Benoni Defence: Taimanov Variation","J6wMzABvtVBTAewTgNU5ULYAh1wP57wwdPYwv77SGBmz"
A68,"Benoni Defence: Four Pawns Attack","EidNQxE6ZJACqtCtUnrTYQAARt6BCSHFAcUAx6wZ4PCg"
A69,"Benoni Defence: Four Pawns Attack,  Main line","8C2nTy2zo3mU9xTWuTQNJCvETrm4Awm4i7u1LXDKfTXR"
A72,"Benoni Defence: Classical Without 9.O-O","GL2Thzcr5FVvPXMVZgF9YVJqm9jU7B7HV1eq6QNTi2A"
A71,"Benoni Defence: Classical,  8.Bg5","8eNf2nCX3JSztmMaaFNoFfJZjR68vnLSWX31AJxzQuDR"
A73,"Benoni Defence: Classical,  9.O-O","666MiujKMveGAfDfTHu15bda6QUW5R4PMdwnHmHgVDfG"
A74,"Benoni Defence: Classical,  9...a6,  10.a4","DUK2aNeD9xbe8vYzJHraBjRQMdPriqWLGDJZFsypLAid"
A75,"Benoni Defence: Classical With ...a6 and 10...Bg4","8q7f1PQR7zPVXByBMuAmiNCeM6DCJjyEVtPfPZwZGujR"
A76,"Benoni Defence: Classical,  9...Re8","CTdtnMuZKLoXNYALE51YRKsnyHxvm6Y2XebDyF37j9Ya"
A77,"Benoni Defence: Classical,  9...Re8,  10.Nd2","EzwaWy5CpFqeVXffNUpoqQpbF1WuZPyRQKZohz9EFSuQ"
A78,"Benoni Defence: Classical With ...Re8 and ...Na6","FedLEgHrtRv8rdSnFMY5iH6CtpwbcZUdUhDECC1xXueN"
A79,"Benoni Defence: Classical,  11.f3","ZJB2k5WvuxvBLt78HjJHBPZQR7Z9br9yrDpcENqTFFr"
A92,"Dutch Defence","Ge6TGCFutCysmitT9aNq9Sy2GUJEZXNq72dwAy4umcfV"
A82,"Dutch Defence: Staunton Gambit,  Tartakower Variation","6GKkKD6QuuuLfWxHVskwCiQoSkDtdHKub7njbWgtPAyN"
A83,"Dutch Defence: Staunton Gambit,  Alekhine Variation","32WagUnNKuwfkmqrweGXfkTMwgswmWupt7UhncwtXk4A"
A85,"Dutch Defence:  With c4 & Nc3","6enxtu5Ncjhp1XRdxnK5pKVmQCrHFoReqwMifM6zD8XY"
A86,"Dutch Defence: Hort-Antoshin System","9XVKFGAJUdYEUsy1UeNCe9ZRbzF419WSGrJt5Xe7Aw66"
A87,"Dutch Defence: Leningrad,  main Variation","HRkPRDCTzGS6xPUsA3errvEp9hJAjgsUZ4mkD33QLP5g"
A88,"Dutch Defence: Leningrad,  main Variation With c6","n1PZ9pYMAB3hEsbPDf4URYzJXwT9NEpX1Ln62wDXiQs"
A89,"Dutch Defence: Leningrad,  main Variation With Nc6","2HX7sto61SUx1WhYKhvWiBDAFLFNBUYzXEd14bPn782r"
A95,"Dutch Defence: Stonewall With Nc3","GJepnevu22mBqwpfaU29co2ugHvABNGzZRUKezyazj6g"
A93,"Dutch Defence: Stonewall,  Botvinnik Variation","6A3Nq5sNzaquoQRCvExDdg2fmaviyus5ujFHFJFTBsuz"
A94,"Dutch Defence: Stonewall With Ba3","GsDZtqnJPT5uc87yHCydgHVApMMcGqAgPp1qbiZEA7Cj"
A95,"Dutch Defence: Stonewall: Chekhover Variation","8Hn7ivNTwab75jmpu3CrjEuVeto4v4r5pRiDFN6Hq9JP"
A96,"Dutch Defence: Classical Variation","BQ4yQZe4TeN8hkBV2bRPNPdU82gwBA4a6qoWKnosKiCo"
A97,"Dutch Defence: Ilyin-Genevsky,  Winter Variation","RBNpXgKUzaV86QTicV3bGtU7VimgrWZ8izXLNKTaZRN"
A98,"Dutch Defence: Ilyin-Genevsky Variation With Qc2","EmUCMffZgSt3AuSSQXQiqF8E5ryWfWmGgbbdAxgFKjbS"
A99,"Dutch Defence: Ilyin-Genevsky Variation With b3","7ahHvKeCGVTjpGKpciAcsxFut6MFWuMCJoqF9q3wpbxn"
C44,"King's Pawn Game","4aRM1cVSC8B4fm3zu5zqd6HretNmTnVQ5YBXQAZhb4zZ"
B00,"King's Pawn Game: Nimzovich Defence,  Marshall Gambit","J43NypgbZVecw2Bs3RTmHPsNH1yxqyLqGmpR9DKBnrHg"
B01,"Scandinavian Defence: Anderssen Counter-attack,  Orthodox Attack","92fpj7nXkqLMWAUZL4FVKWq8UAo6fZ9A7ruZ6P4ySzX7"
B02,"Alekhine's Defence: Two Pawns' Attack,  Mikenas Variation","959yi8qZS9QYUQUc9MvoYfWHMAXiWCbHomHXwhkzb68W"
B03,"Alekhine's Defence: Four Pawns Attack,  Tartakower Variation","AE27LVFFFjvSDEeCKVNfSNACAwC5BFV2oxbZc9rk8bMo"
B04,"Alekhine's Defence: Modern,  Keres Variation","BbknZowUrVDdRbxjjxFBx4HrZQkaKETtYiDtoZrFcmK8"
B05,"Alekhine's Defence: Modern,  Vitolins Attack","39Q9eRpZ22C8cYeZZcLk1DjtF5y24tDSHKgAFjefEhMF"
B06,"Robatsch Defence: Gurgenidze Variation","AfZoX3dDxAJB4krx8TaftXcS5rpL847THAPj8zqaotPS"
B07,"Pirc Defence: 150 Attack","3fcipZYCPYuXsXLv3uqzRCh2qMHUxteGTUk5YDxJJDod"
B08,"Pirc Defence: Classical System,  5.Be2","BtQUfWF36EJ51rfjAkQWtVRxrRtPqVJ6e35bcvW1okD8"
B09,"Pirc Defence: Austrian Attack,  6.Be3","E5By1eHmNANRLmdfFAwNep2ZotH5KxQxDTDHXduKC6Qm"
B15,"Caro-Kann Defence","EaXiWDjTBoHXngbsSqdQAFJW5RokXFhEbYh1bFwV1y3t"
B11,"Caro-Kann Defence: Two Knights,  3...Bg4","6KE9m78W7UfJqoe2fowDozFXdG2HHSq51wDTRvkkk4jx"
B15,"Caro-Kann Defence: Tartakower Variation","FuPDuEaWCWnp745pgyJFLcXdd8DfDDVrarrHHpNHRM7a"
B13,"Caro-Kann Defence: Panov-Botvinnik Attack,  Herzog Defence","3tChJXcH3Pv3AgqgJBLTNrZzo4dGLsoQJMUVoDyaXkBJ"
B14,"Caro-Kann Defence: Panov-Botvinnik Attack,  5...e6","8CN3JQwJeCWeoUptTuJqcj7phET2zjdgEwzu8xJUARVR"
B15,"Caro-Kann Defence: Forgacs Variation","9f4Mhg4G7FN1yzvjjFxjCQtC1dkEWYiQ3TsaZbZRvmq1"
B16,"Caro-Kann Defence: Bronstein-Larsen Variation","AUAR8pevkfYRNeBW8HnnnTByASyGH7GZ9BW4WdGgnpCy"
B17,"Caro-Kann Defence: Steinitz Variation","E5f8jQZwga9oZrYv2VWfprSa5XxVhsC9AXPnJbqSGgLN"
B18,"Caro-Kann Defence: Classical Variation,  Flohr Variation","3xvEDXVdiUqPP9Ze3pAFNHPa4wpQ9vmapoLQkKVYqMkF"
B19,"Caro-Kann Defence: Classical Variation,  Spassky Variation","4tFeDNL7wyrAeSHn2HkzihtVienAXnbn3qs1KUmy7qKy"
B56,"Sicilian Defence","J94vCgDXD8qahcoCeSQedX8u9wi7iY89TmXBHEEXaeux"
B21,"Sicilian Defence: Smith-Morra Gambit,  Chicago Defence","2A9VMq6Ad9KRgvDRsQhRVxdGC4FaKmbwr6y4jLiFCZnU"
B22,"Sicilian Defence: Alapin Variation,  Heidenfeld Variation","91R65gkLTdb65ptLbkthNQqcPG86XrpHSS4TyoGcwnD7"
B23,"Sicilian Defence: Grand Prix Attack,  Schofman Variation","2a2ZQYTwaakCDCVKbqMvLdNTf831BVV6bVdypiJkMwGe"
B24,"Sicilian Defence: Closed,  Smyslov Variation","2kUCjxhbG1gsQB2RXW1mJEUhgG7ntrmvxdQ63oNCsPSb"
B25,"Sicilian Defence: Closed,  6.Ne2 e5 (Botvinnik)","2juQACWtHN1cDSN5xWJhmQBS2tRdF6K3ksnT4GKrga7G"
B26,"Sicilian Defence: Closed,  6.Be3","88btzAXxeVrrfHxvDXC9FAERfTA75hpV18LZSzjUH3Zm"
B28,"Sicilian Defence: O'Kelly Variation","Hi5x4ru8UBkgqDSCGpQKn5XzhKmmhSiw48i3EN19kddi"
B29,"Sicilian Defence: Nimzovich-Rubinstein Variation,  Rubinstein Counter-Gambit","HNDz3ZrHF7RZo1uUhB4msPGpwffRpPrbdYjL35wW6BVc"
B31,"Sicilian Defence: Nimzovich-Rossolimo Attack,  Gurgenidze Variation","HUKGqSS2Yv4H1HtG118SSCkQfsBizR1AEXLFygL5K9Vo"
B33,"Sicilian Defence: Sveshnikov Variation","6jfSEd3bxYfUNFWhzMz6VP2EoxDfeDZYiJ1KNd6E94kJ"
B34,"Sicilian Defence: Accelerated Fianchetto,  Exchange Variation","6gEybzo89e4tnRRtDNX7Lk4EEgjwSNs4mmU9PLcpv5vn"
B35,"Sicilian Defence: Accelerated Fianchetto,  Modern Variation With Bc4","GspQQ1vRduZRAnrEXpu7JAof9Z3zu1W9CqCn9FRXPbie"
B36,"Sicilian Defence: Accelerated Fianchetto,  Gurgenidze Variation","4kMzhWk4bY672eiAkdXn9K1ETcQK7LNjXKQK9EfAbMRs"
B37,"Sicilian Defence: Accelerated Fianchetto,  Simagin Variation","Fj6NMhrQmSxT6oUW2tz1HAvr82R5cZEKEeLP8ny7D5zb"
B38,"Sicilian Defence: Accelerated Fianchetto,  Maroczy bind,  6.Be3","9SPuT9SZZFk9ran3Q6MQNTL7TPbjqC4DZpQeXqoZH2eR"
B39,"Sicilian Defence: Accelerated Fianchetto,  Breyer Variation","8WpL73qJmdYMzS9Ma37ZXwqBrji6zQ9CiDvY1txAWFKw"
B40,"Sicilian Defence: Pin Variation,  Jaffe Variation","6GKJ1wzsoUp8s9qpiPdgUXx2PwnURHB1Au6jqUMfKuRy"
B41,"Sicilian Defence: Kan Variation,  Maroczy bind,  Bronstein Variation","7XKR9op1SWszEm2BCmHNN88QZwrGgLd7pEFs97MZXckZ"
B42,"Sicilian Defence: Kan Variation,  Gipslis Variation","8eYgKVsjPZG2LaGZSvnXw5ZcJ7keXDhR6cyK2VG9om5m"
B43,"Sicilian Defence: Kan Variation,  5.Nc3","6JFAMTqqoJWwVxQaXW8mUWXz7KsN27aVnhmJygJUtRAg"
B44,"Sicilian Defence: Szen Variation,  Hedgehog Variation","8rJjiDzVdM1qeCek7WkRtih9nQVnBfPyiRuSJWWC6rWX"
B49,"Sicilian Defence: Taimanov Variation","CWGbgLkqc58BjnQQNp6VZGkoNu3PatfkdnqyWffbUxEd"
B45,"Sicilian Defence: Taimanov Variation,  American Attack","Bkq29eKjo3ZBH6gSYsF4tFMt5cyjD2MFBn31wuVsoLgH"
B51,"Sicilian Defence: Canal-Sokolsky Attack","8iDCNZNBiN83AK83xDYLeEFhJ4B3RfppWk2cTRw9YPW4"
B52,"Sicilian Defence: Canal-Sokolsky Attack,  Bronstein Gambit","BAcbkqAfGvSsjjYKbtDu5jSiG6PtwHs7GwqUF3nrnsZ3"
B53,"Sicilian Defence: Chekhover Variation,  Zaitsev Variation","F4e6RhVmWvacC4XHGr8BxY7dXrBU6CtrNRpsgU6waJ1x"
B55,"Sicilian Defence: Prins Variation,  Venice Attack","8mdF4xoKxNycQ7m9uRkXDZSgnp2ARnxd7cRbn7oSMFQK"
B56,"Sicilian Defence: Venice Attack","3DUsTZfQ63cPd4ksj1DM9Fxf3ecMXAbagHtRgJxZfLVq"
B57,"Sicilian Defence: Magnus Smith trap","BjrD5BwnBoqikVVDjgcATccEQzCG6q7Co18FxvnrW7bf"
B58,"Sicilian Defence: Boleslavsky Variation,  Louma Variation","9JhuEcm5UkEuVT8cY9qSEtd3YRCBeqdgKs3YpKfsjymh"
B59,"Sicilian Defence: Boleslavsky Variation,  7.Nb3","3LMCjGRsFmtjGHMo2PR5ri5SxPX6fKRgNYJaD4envxe2"
B60,"Sicilian Defence: Richter-Rauzer,  Larsen Variation","2rjZ5CQApjoC73pJFXAq6RPzvP9fAevWDb6QEomcHp5g"
B61,"Sicilian Defence: Richter-Rauzer,  Larsen Variation,  7.Qd2","Cwrepq1pK8LGt1fd3JbP5Xoha8qzkKwesaYi31jMboqw"
B62,"Sicilian Defence: Richter-Rauzer,  Richter Attack","BTzcmpBM59dJNf21Z1pLoJiXxYBEBcsK7CwQYo855NTv"
B63,"Sicilian Defence: Richter-Rauzer,  Rauzer Attack,  7...Be7","2k3MtrMFG9iKsZX6owjvaGyVG2ej1tZDHHWFHbWULXse"
B64,"Sicilian Defence: Richter-Rauzer,  Rauzer Attack,  Geller Variation","DYPdyT1KCu21GQUA7zBrj5pgjTSKkbXSHx7MgEVnpnAp"
B65,"Sicilian Defence: Richter-Rauzer,  Rauzer Attack,  7...Be7 Defence,  9...Nxd4","BE9ptyDFzWV11uiqvhHY9TNtpdkeJ6y2U5HxC9RoiVYS"
B66,"Sicilian Defence: Richter-Rauzer,  Rauzer Attack,  7...a6","E6xkS7REF2M5QfkKXbVz8wnSpFQWLJQR7MoAPgVYBK5E"
B67,"Sicilian Defence: Richter-Rauzer,  Rauzer Attack,  7...a6 Defence,  8...Bd7","GJug1cAgJ1j6TAfChydBUpBTCqBTTkQGRmZmj3nAHnrQ"
B68,"Sicilian Defence: Richter-Rauzer,  Rauzer Attack,  7...a6 Defence,  9...Be7","FWeeAzqRE6gM36kSGkiMTD3HKqKnF47EzLHDmCUJLxbH"
B69,"Sicilian Defence: Richter-Rauzer,  Rauzer Attack,  7...a6 Defence,  11.Bxf6","HJ5pUFaej4EPVhgv15j9bef8NCCXkUm6CwWtaGgoiDdD"
B70,"Sicilian Defence: Dragon Variation","DzEntQSoGXQiHaon4jR5NJhTBj1PTgA8LtWCpUTASisd"
B71,"Sicilian Defence: Dragon Variation,  Levenfish; Flohr Variation","53JRTrRqhMtLxWtYcv4zyah5pd26u4CJky6rCMHwkwfL"
B72,"Sicilian Defence: Dragon Variation,  Classical Attack,  Grigoriev Variation","EaAAQLU5cR93a2AaRmrWj3ZGWDxf2EQSfZdRoHoZ4Nrp"
B73,"Sicilian Defence: Dragon Variation,  Classical Attack,  Zollner Gambit","7YRLAzR2Ro1MzfZ5iEWkuSzES7npKhr4riLSTQW2a9Bt"
B74,"Sicilian Defence: Dragon Variation,  Classical Attack,  Stockholm Attack","AS8PBqYF8Yyhi1gKN9gd8NTnFVLinofkhEc8sfS16QAW"
B75,"Sicilian Defence: Dragon Variation,  Yugoslav Attack","AZiB7HKWeacGsArkByHDr97ktg6abVvDngksrL2kTKZq"
B76,"Sicilian Defence: Dragon Variation,  Yugoslav Attack,  Rauser Variation","6TT7SgmGhBjxZT7XWLZUEu2Hzif2YGnsaFHZwKP8HMH4"
B77,"Sicilian Defence: Dragon Variation,  Yugoslav Attack,  9...Bd7","E1ptRjBoymhKWj2uLshQGAXK6xctJj1GBAY4PFyfFKnF"
B78,"Sicilian Defence: Dragon Variation,  Yugoslav Attack,  10.O-O-O","2qENTGhpa25dz5a2f1Ft1ppN3ybGjvKQ18WDd6eSutTV"
B79,"Sicilian Defence: Dragon Variation,  Yugoslav Attack,  12.h4","J5u1LYgzcL8oj9ccmMgvz9d7hQGpwR8PKRgmCQgewVwz"
B80,"Sicilian Defence: Scheveningen Variation,  English Variation","8V5whoPqSHAtVnUvz4WNKAYEqQmBakumWjrbSeZzZmRM"
B81,"Sicilian Defence: Scheveningen Variation,  Keres Attack","DswUiP3CVeqTjbno83TZx3racpo1LfbZ9176FYPsVGzP"
B82,"Sicilian Defence: Scheveningen Variation,  Tal Variation","HLZcd4q1YSaRprYNVsuhNxpTSKtWZF7KG9BqdhvoE1bU"
B83,"Sicilian Defence: Modern Scheveningen Variation,  Main line With Nb3","HZv4gBbwv6noQk1usT6Nkw8oKkZQY8davpe7k4xCaca4"
B85,"Sicilian Defence: Scheveningen Variation,  Classical Variation","FX7DM37Ni8Ji2gy2TBtp4twSowNjjNUTRkgWyJnbdGx3"
B86,"Sicilian Defence: Sozin Attack","9YYrf8tuEZv4f8BwXdLRKdw9tCgg64X614Sqoo9Y4bQ9"
